Patient GP,Count
F85020,89
E83034,80
E83010,77
F85701,77
E83039,75
F83061,75
E84653,74
F83623,73
F83023,70
F85044,69
F83019,67
F85634,67
F85019,66
Y02674,66
E83030,66
E83639,66
F85640,64
Y03664,63
E83021,62
F85666,62
Y00316,62
E83005,61
F85663,61
E83018,60
F85023,60
Y00057,60
F83043,60
F85642,59
F85034,59
E83012,59
F83632,55
Y03135,55
Y01655,54
F85002,52
Y05330,52
E83668,51
E83044,50
F85071,45
E83037,43
E87045,42
F85016,39
F85030,39
F83042,39
F85029,39
E83053,38
F83006,38
F83018,38
E83008,38
F83683,38
F85004,37
Y02117,37
F85035,37
F85064,36
Y03528,36
E83613,36
Y03402,36
F85628,35
F85700,35
F85031,35
E83006,35
E87066,35
E83621,35
F85650,34
F83665,34
F85697,34
F85675,34
E83020,34
E83025,34
E83046,34
F85033,34
F83635,34
F83020,34
F85028,33
F85039,33
F85007,33
Y02986,33
F83055,32
F85669,32
F85072,32
E83011,32
E83049,32
F83057,32
F85678,32
Y03035,32
F83658,32
F83052,32
E83009,32
F83011,31
F85625,31
F85623,31
E83028,31
F85008,31
E83649,31
F85688,31
E83622,30
E83024,30
F85676,30
E83016,30
F83050,30
F85032,30
Y03663,30
E83003,30
F85043,30
E83050,29
F83615,29
F83048,29
E83653,29
F85615,29
E83007,29
F85060,29
F85046,28
F85058,28
F85066,28
E83637,28
E83013,28
F85014,28
E83657,27
F83044,27
F83025,27
E83638,26
F85063,26
F85017,26
F85687,26
E83027,26
F83633,26
E83026,26
F85705,25
E83017,25
E83038,25
F85069,25
F83003,25
F85682,25
F83022,24
E83032,24
F85025,24
F85065,24
F85061,24
F85013,24
F83017,24
E83045,23
F83058,23
E83031,22
Y00612,21
F83005,21
E83035,20
F85010,20
E83600,20
