,Patient GP,GP practice name,Postcode,ICB23ons,LAD21,LAD21name,ICB23,ICB23name,LSOA11,MSOA11,POSTCODE,NUMBER_OF_PATIENTS,Count_x,Count_y
0,E82042,ABBEY ROAD SURGERY,EN8 7LJ,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023337,E02004855,EN8 7LJ,9798,1,1
1,E82063,THE MAPLES,EN10 6FD,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023342,E02004847,EN10 6FD,12612,1,1
2,E82081,CUFFLEY AND GOFFS OAK MEDICAL PRACTICE,EN6 4JA,E54000025,E07000241,Welwyn Hatfield,QM7,NHS Hertfordshire and West Essex ICB,E01023947,E02004995,EN6 4JA,13037,1,1
3,E82085,THE RED HOUSE GROUP,WD7 7JQ,E54000025,E07000098,Hertsmere,QM7,NHS Hertfordshire and West Essex ICB,E01023525,E02004900,WD7 7JQ,19223,1,1
4,E82133,HIGH STREET SURGERY,EN8 0BX,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023303,E02004850,EN8 0BX,7484,1,1
5,E83013,CORNWALL HOUSE SURGERY,N3 1LD,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000296,E02000046,N3 1LD,5843,1,1
6,E83044,ADDINGTON MEDICAL CENTRE,EN5 1QH,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000251,E02000025,EN5 1QH,9749,1,1
7,E83045,FRIERN BARNET MEDICAL CENTRE,N11 3BU,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000161,E02000038,N11 3BU,9710,1,1
8,E83639,ROSEMARY SURGERY,N3 2QN,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000197,E02000046,N3 2QN,6170,1,1
9,F81072,"HIGH STREET SURGERY, EPPING",CM16 4DA,E54000025,E07000072,Epping Forest,QM7,NHS Hertfordshire and West Essex ICB,E01021762,E02004531,CM16 4DA,7731,1,1
10,F83002,RIVER PLACE HEALTH CENTRE,N1 2DE,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002793,E02000569,N1 2DE,10770,1,1
11,F83004,ARCHWAY MEDICAL CENTRE,N19 3NU,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002810,E02000556,N19 3NU,24639,1,1
12,F83007,ROMAN WAY MEDICAL CENTRE,N1 1SW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002795,E02000566,N1 1SW,3510,1,1
13,F83008,THE GOODINGE GROUP PRACTICE,N7 9EW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002766,E02000568,N7 9EW,12223,1,1
14,F83010,ISLINGTON CENTRAL MEDICAL CENTRE,N1 1SW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002795,E02000566,N1 1SW,20717,1,1
15,F83039,THE RISE GROUP PRACTICE,N19 3YU,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002758,E02000554,N19 3YU,4977,1,1
16,F83045,THE MILLER PRACTICE,N5 2ET,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002781,E02000565,N5 2ET,9561,1,1
17,F83055,WEST HAMPSTEAD MEDICAL CENTRE,NW6 1TP,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000971,E02000175,NW6 1TP,22638,1,1
18,F83056,THE MITCHISON ROAD SURGERY,N1 3NG,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002716,E02000567,N1 3NG,9577,1,1
19,F83059,BRONDESBURY MEDICAL CENTRE,NW6 7JQ,E54000028,E09000005,Brent,QMJ,NHS North Central London ICB,E01000545,E02000120,NW6 7JQ,22269,1,1
20,F83652,AMWELL GROUP PRACTICE,WC1X 0GB,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002726,E02000575,WC1X 0GB,10852,1,1
21,F83660,HIGHBURY GRANGE MEDICAL PRACTICE,N5 2QB,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002744,E02000562,N5 2QB,9086,1,1
22,F83673,THE MEDICAL CENTRE,N7 8DD,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01033491,E02000564,N7 8DD,6026,1,1
23,F83674,THE JUNCTION MEDICAL PRACTICE,N19 5EW,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002768,E02000557,N19 5EW,9248,1,1
