Patient GP,GP practice name,Postcode,ICB23ons,LAD21,LAD21name,ICB23,ICB23name,LSOA11,MSOA11,POSTCODE,NUMBER_OF_PATIENTS,IMD2019 Decile,CountReferrals_Baseline,CountReferrals_CDC,Latitude,Longitude
E82024,WALLACE HOUSE,SG14 1HZ,E54000025,E07000242,East Hertfordshire,QM7,NHS Hertfordshire and West Essex ICB,E01023470,E02004891,SG14 1HZ,15362,9,31,63,51.811775,-0.11705
E82027,PARKFIELD MEDICAL CENTRE,EN6 1QH,E54000025,E07000098,Hertsmere,QM7,NHS Hertfordshire and West Essex ICB,E01023580,E02004896,EN6 1QH,13015,9,53,8,51.69798000000001,-0.1830999999999999
E82098,ANNANDALE MEDICAL CENTRE,EN6 5DA,E54000025,E07000098,Hertsmere,QM7,NHS Hertfordshire and West Essex ICB,E01023572,E02004898,EN6 5DA,7738,7,82,91,51.69798000000001,-0.1830999999999999
E82079,CROMWELL MEDICAL CENTRE,EN7 5DL,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023296,E02004853,EN7 5DL,8819,4,82,22,51.7119,-0.0689
E82115,STOCKWELL LODGE MED.CTR.,EN7 6HL,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023326,E02004851,EN7 6HL,10570,3,35,59,51.7119,-0.0689
E82123,WARDEN LODGE MEDICAL PRACTICE,EN8 8NW,E54000025,E07000095,Broxbourne,QM7,NHS Hertfordshire and West Essex ICB,E01023334,E02004854,EN8 8NW,9910,6,53,72,51.6985,-0.03535
E83017,LONGROVE SURGERY,EN5 2ED,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000293,E02000024,EN5 2ED,17580,9,13,79,51.65198333333333,-0.1943166666666666
E83031,THE VILLAGE SURGERY,EN4 8RF,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000171,E02000029,EN4 8RF,5524,4,29,100,51.650580000000005,-0.158
E83034,COLNEY HATCH LANE SURGERY,N10 1ET,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000156,E02000045,N10 1ET,5124,9,85,81,51.5905,-0.1421
E83039,RAVENSCROFT MEDICAL CENTRE,NW11 8BB,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000218,E02000060,NW11 8BB,5806,6,89,99,51.57813333333333,-0.1980499999999999
E83050,EAST FINCHLEY MEDICAL CENTRE,N2 9QD,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000182,E02000052,N2 9QD,7615,9,77,36,51.59,-0.1531
E83638,THE MOUNTFIELD SURGERY,N3 3NR,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000202,E02000051,N3 3NR,4986,9,75,64,51.60055,-0.1943
E83649,THE HODFORD ROAD PRACTICE,NW11 8NH,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000146,E02000061,NW11 8NH,4185,5,41,54,51.57813333333333,-0.1980499999999999
E87677,IMPERIAL COLLEGE HEALTH CENTRE,SW7 1LY,E54000027,E09000033,Westminster,QRV,NHS North West London ICB,E01004688,E02000978,SW7 1LY,19660,10,70,56,51.49598333333333,-0.1762833333333333
F83012,ELIZABETH AVENUE GROUP PRACTICE,N1 3BS,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002797,E02000571,N1 3BS,7417,3,51,70,51.53669,-0.0944
F83015,ST JOHNS WAY MEDICAL CENTRE,N19 3RN,E54000028,E09000019,Islington,QMJ,NHS North Central London ICB,E01002760,E02000555,N19 3RN,12501,2,83,24,51.5649,-0.1351
F83017,HAMPSTEAD GROUP PRACTICE,NW3 2QU,E54000028,E09000007,Camden,QMJ,NHS North Central London ICB,E01000898,E02000173,NW3 2QU,18379,7,26,99,51.5462,-0.168075
