PUBLICATION,EXTRACT_DATE,TYPE,SUB_ICB_LOCATION_CODE,ONS_SUB_ICB_LOCATION_CODE,CODE,POSTCODE,SEX,AGE,NUMBER_OF_PATIENTS,Latitude,Longitude
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84002,NE65 7UW,ALL,ALL,6077,55.318401851851846,-1.804414814814815
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84005,NE22 6JX,ALL,ALL,12297,55.1306,-1.5932000000000002
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84006,NE66 2NL,ALL,ALL,18906,55.419943396226415,-1.7907415094339625
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84007,NE20 9SD,ALL,ALL,10800,55.06831764705882,-1.8525176470588236
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84008,NE70 7ER,ALL,ALL,4517,55.59358125,-1.81554375
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84009,NE24 1HD,ALL,ALL,26924,55.12894,-1.53142
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84011,NE20 9SD,ALL,ALL,8180,55.06831764705882,-1.8525176470588236
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84013,NE22 7DU,ALL,ALL,6295,55.1306,-1.5932000000000002
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84014,NE24 1DX,ALL,ALL,13054,55.12894,-1.53142
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84016,NE42 5PW,ALL,ALL,6917,54.9669,-1.871033333333333
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84018,NE45 5LG,ALL,ALL,7205,54.97836,-2.01016
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84020,NE62 5RA,ALL,ALL,7967,55.1615,-1.5933
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84022,NE65 9SF,ALL,ALL,11914,55.318401851851846,-1.804414814814815
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84024,NE46 1QJ,ALL,ALL,10275,54.9934,-2.09518125
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84025,NE23 6QN,ALL,ALL,5112,55.067877777777774,-1.560788888888889
GP_PRAC_PAT_LIST,01Jul2023,GP,00L,E38000130,A84026,TD15 1LL,ALL,ALL,8880,55.71179743589744,-2.051723076923077
