PUBLICATION,EXTRACT_DATE,TYPE,SUB_ICB_LOCATION_CODE,ONS_SUB_ICB_LOCATION_CODE,CODE,POSTCODE,SEX,AGE,NUMBER_OF_PATIENTS,Latitude,Longitude
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84002,NE65 7UW,ALL,ALL,6077,55.309097,-1.911657
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84005,NE22 6JX,ALL,ALL,12297,55.132319,-1.5986032
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84006,NE66 2NL,ALL,ALL,18906,55.410075,-1.6966692
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84007,NE20 9SD,ALL,ALL,10800,55.051804,-1.7496879
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84008,NE70 7ER,ALL,ALL,4517,55.595957,-1.8259456
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84009,NE24 1HD,ALL,ALL,26924,55.12875,-1.5141723
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84011,NE20 9SD,ALL,ALL,8180,55.051804,-1.7496879
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84013,NE22 7DU,ALL,ALL,6295,55.14082,-1.5644294
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84014,NE24 1DX,ALL,ALL,13054,55.127873,-1.5149357
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84016,NE42 5PW,ALL,ALL,6917,54.961949,-1.8533372
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84018,NE45 5LG,ALL,ALL,7205,54.973916,-2.0126703
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84020,NE62 5RA,ALL,ALL,7967,55.157588,-1.6040937
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84022,NE65 9SF,ALL,ALL,11914,55.293739,-1.6029607
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84024,NE46 1QJ,ALL,ALL,10275,54.969548,-2.0954883
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84025,NE23 6QN,ALL,ALL,5112,55.084481,-1.5915158
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84026,TD15 1LL,ALL,ALL,8880,55.772395,-2.0062068
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84027,NE48 2HE,ALL,ALL,3460,55.143831,-2.2579821
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84028,NE63 0NG,ALL,ALL,19031,55.170902,-1.5610089
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84029,NE61 5LX,ALL,ALL,4511,55.240221,-1.6205727
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84030,NE23 6US,ALL,ALL,10162,55.084673,-1.5870806
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84031,NE61 1JX,ALL,ALL,10307,55.171516,-1.683944
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84033,NE46 1QJ,ALL,ALL,5769,54.969548,-2.0954883
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84034,NE49 9AP,ALL,ALL,5583,54.97008,-2.4648247
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84035,NE42 5DQ,ALL,ALL,5950,54.961364,-1.8456088
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84036,NE61 1BJ,ALL,ALL,51632,55.169374,-1.6896909
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84037,NE23 7EF,ALL,ALL,5997,55.063625,-1.5484204
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84038,NE23 6QN,ALL,ALL,7863,55.084481,-1.5915158
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84039,NE61 1JX,ALL,ALL,6457,55.171516,-1.683944
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84040,NE46 4BU,ALL,ALL,3560,55.036045,-2.1253434
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84042,NE61 4EG,ALL,ALL,2065,55.172755,-1.9405629
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84044,TD15 2HB,ALL,ALL,7191,55.766716,-2.0117999
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84045,NE47 6LA,ALL,ALL,5366,54.975681,-2.250028
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84047,NE43 7LL,ALL,ALL,5346,54.94714,-1.8978688
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84604,NE71 6BL,ALL,ALL,4791,55.546525,-2.0184204
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84614,NE42 5HR,ALL,ALL,2018,54.962605,-1.845729
GP_PRAC_PAT_LIST,01-Jul-23,GP,00L,E38000130,A84619,NE25 0BW,ALL,ALL,4085,55.07062,-1.5258853
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88001,NE31 1NU,ALL,ALL,3604,54.973823,-1.5218704
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88002,NE33 4QY,ALL,ALL,17184,54.97555,-1.4380172
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88003,NE34 6RE,ALL,ALL,14403,54.980455,-1.4001833
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88004,NE32 5SE,ALL,ALL,9230,54.977935,-1.496464
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88005,NE34 9BP,ALL,ALL,4545,54.972653,-1.4552104
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88006,NE34 0BX,ALL,ALL,8000,54.973055,-1.4406765
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88007,NE33 4DX,ALL,ALL,7947,54.987314,-1.4268355
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88008,NE33 5DU,ALL,ALL,6444,54.987738,-1.4367999
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88009,NE35 9AN,ALL,ALL,6132,54.949762,-1.4606877
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88010,NE32 5AG,ALL,ALL,3117,54.97804,-1.4914162
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88012,NE31 2SP,ALL,ALL,6243,54.973362,-1.5075504
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88013,NE34 8PS,ALL,ALL,19140,54.971615,-1.415421
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88014,NE33 4JP,ALL,ALL,2873,54.985212,-1.430819
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88015,NE33 5DU,ALL,ALL,7235,54.987738,-1.4367999
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88016,NE35 9AN,ALL,ALL,8362,54.949762,-1.4606877
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88022,NE31 1NU,ALL,ALL,11010,54.973823,-1.5218704
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88023,SR6 7EE,ALL,ALL,5381,54.952768,-1.3646985
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88025,NE32 3UX,ALL,ALL,4604,54.980778,-1.4928035
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88601,NE33 4EG,ALL,ALL,3996,54.987529,-1.4248008
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88608,NE33 3ET,ALL,ALL,5857,54.988408,-1.4206312
GP_PRAC_PAT_LIST,01-Jul-23,GP,00N,E38000163,A88613,NE32 3UX,ALL,ALL,4105,54.980778,-1.4928035
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89001,SR2 8AD,ALL,ALL,13359,54.899997,-1.3728114
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89002,SR1 2HJ,ALL,ALL,7086,54.905499,-1.3733342
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89004,DH5 9EZ,ALL,ALL,11721,54.825302,-1.4490855
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89005,SR2 8AX,ALL,ALL,5464,54.899997,-1.3728114
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89006,SR4 7XF,ALL,ALL,8412,54.903978,-1.4105838
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89007,SR4 7XF,ALL,ALL,10374,54.903978,-1.4105838
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89008,SR5 5PS,ALL,ALL,5324,54.925457,-1.4240323
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89009,DH4 4LE,ALL,ALL,9220,54.865739,-1.4833726
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89010,NE37 2PU,ALL,ALL,12412,54.91333,-1.5248491
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89011,SR3 2AN,ALL,ALL,4635,54.870936,-1.4071857
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89012,NE38 7NQ,ALL,ALL,11056,54.898788,-1.5313511
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89013,SR1 2QB,ALL,ALL,5361,54.904438,-1.3766413
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89015,SR6 8DZ,ALL,ALL,9189,54.93063,-1.3830562
GP_PRAC_PAT_LIST,01-Jul-23,GP,00P,E38000176,A89016,SR6 0QQ,ALL,ALL,9194,54.913843,-1.377822
