age,OBS_VALUE,Count,CDC_Count,OBS_VALUE_percentage,Count_percentage,CDC_Count_percentage
Total,264247,,,50.0,,
0-17,57197,2.0,2.0,10.822639424477856,3.6363636363636362,3.6363636363636362
18-29,42988,6.0,6.0,8.134056394206937,10.909090909090908,10.909090909090908
30-39,49506,8.0,8.0,9.367372193440229,14.545454545454545,14.545454545454545
40-49,40327,9.0,9.0,7.63055020492191,16.363636363636363,16.363636363636363
50-59,34620,12.0,12.0,6.550689317191869,21.818181818181817,21.818181818181817
60-69,20718,1.0,1.0,3.9201958773420325,1.8181818181818181,1.8181818181818181
70-79,12033,9.0,9.0,2.2768470408367927,16.363636363636363,16.363636363636363
80-89,5798,7.0,7.0,1.0970796262587654,12.727272727272727,12.727272727272727
90+,1060,1.0,1.0,0.20056992132361012,1.8181818181818181,1.8181818181818181
