age,OBS_VALUE,Count,CDC_Count,OBS_VALUE_percentage,Count_percentage,CDC_Count_percentage
Total,264247,,,50.0,,
0-17,57197,0.0,0.0,10.822639424477856,0.0,0.0
18-29,42988,12.0,12.0,8.134056394206937,20.0,20.0
30-39,49506,9.0,9.0,9.367372193440229,15.0,15.0
40-49,40327,5.0,5.0,7.63055020492191,8.333333333333332,8.333333333333332
50-59,34620,7.0,7.0,6.550689317191869,11.666666666666666,11.666666666666666
60-69,20718,6.0,6.0,3.9201958773420325,10.0,10.0
70-79,12033,7.0,7.0,2.2768470408367927,11.666666666666666,11.666666666666666
80-89,5798,12.0,12.0,1.0970796262587654,20.0,20.0
90+,1060,2.0,2.0,0.20056992132361012,3.3333333333333335,3.3333333333333335
