ethnicity,Census_Count,Baseline_Count,CDC_Count,Census_Count_percentage,Baseline_Count_percentage,CDC_Count_percentage
"Asian, Asian British or Asian Welsh",23081.0,,,8.735060590234413,,
"Black, Black British, Black Welsh, Caribbean or African",46468.0,,,17.585927624756845,,
Mixed or Multiple ethnic groups,18555.0,,,7.022184881582234,,
Other ethnic group,25554.0,,,9.670973455346397,,
White,150576.0,12.0,15.0,56.985853448080114,17.91044776119403,22.388059701492537
Mixed,,14.0,10.0,,20.8955223880597,14.925373134328357
Asian,,13.0,9.0,,19.402985074626866,13.432835820895523
Unknown,,10.0,14.0,,14.925373134328357,20.8955223880597
Black,,10.0,14.0,,14.925373134328357,20.8955223880597
Other,,8.0,5.0,,11.940298507462686,7.462686567164178
