Patient GP,Count
F85002,30
F85697,21
K82011,76
F83666,86
F85678,70
F83671,85
E82027,53
F85625,100
F85705,91
F83032,79
F85020,93
E83017,13
E82024,31
E87677,70
Z8G3I,35
E83638,75
Z3D3X,74
E82115,35
F86607,43
F85007,75
V81997,15
L9M0B,83
F85067,5
F83022,38
J83040,11
E82079,82
F85069,93
F85705001,17
E83031,29
F83664,31
F83052,2
F84724,11
E83050,77
F83017,26
F85046,86
Y01655,6
F83057,64
V81999,18
F85029,40
Y00316,15
F85028,53
T5U8N,35
F85014,23
E83034,85
F83015,83
F85016,75
F83060,71
E82123,53
F85675,92
E83039,89
F85687,98
Y02117,19
F83683,25
F83053,25
F85008,73
F83012,51
F85019,26
Y03035,17
E83649,41
F85023,46
F85064,31
F85066,33
F85072001,20
F83680,23
Y01066,70
F85700,54
E82098,82
