Patient GP,Count
F85034,1
E82133,1
F83056,1
F86026,1
G83680,1
F85701,1
F85071,1
F83004,1
F83039,1
F83002,1
F85004,1
E83045,1
F85032,1
F83674,1
F84036,1
I1Z8L,1
F83059,1
E82063,1
F83055,1
F85035,1
F83010,1
Y02674,1
F83673,1
F85052,1
F85058,1
O0H1S,1
F83686,1
F83007,1
E83013,1
D9T4W,1
F85640,1
F85615,1
F83652,1
B6S7Y,1
R3H6S,1
F85065,1
F85623,1
F83681,1
F85063,1
F85030,1
F83045,1
F85688,1
E82085,1
F85634,1
F85013,1
E82042,1
F81072,1
E83639,1
F85669,1
F85642,1
Y05330,1
F85017,1
F85031,1
D6Q8D,1
G81044,1
F83008,1
E82081,1
B1B3L,1
E83044,1
Y03135,1
F85061,1
H84020,1
X6I6K,1
F83660,1
F84119,1
I6U7Y,1
