,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C_SEX,C_SEX_NAME,C_SEX_CODE,C_SEX_TYPE,C_SEX_TYPECODE,C_SEX_SORTORDER,C2021_AGE_92,C2021_AGE_92_NAME,C2021_AGE_92_CODE,C2021_AGE_92_TYPE,C2021_AGE_92_TYPECODE,C2021_AGE_92_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT,Age_range
0,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,0,Total: All usual residents,0,Age,1000000,0,20100,Value,124608,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d0d20100,0,28152,Total
1,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,1,Aged under 1 year,_0,Age,1000000,1,20100,Value,1352,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d1d20100,1,28152,0-17
2,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,2,Aged 1 year,_1,Age,1000000,2,20100,Value,1413,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d2d20100,2,28152,0-17
3,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,3,Aged 2 years,_2,Age,1000000,3,20100,Value,1444,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d3d20100,3,28152,0-17
4,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,4,Aged 3 years,_3,Age,1000000,4,20100,Value,1473,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d4d20100,4,28152,0-17
5,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,5,Aged 4 years,_4,Age,1000000,5,20100,Value,1438,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d5d20100,5,28152,0-17
6,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,6,Aged 5 years,_5,Age,1000000,6,20100,Value,1508,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d6d20100,6,28152,0-17
7,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,7,Aged 6 years,_6,Age,1000000,7,20100,Value,1510,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d7d20100,7,28152,0-17
8,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,8,Aged 7 years,_7,Age,1000000,8,20100,Value,1557,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d8d20100,8,28152,0-17
9,2021,2021,2021,date,0,0,1774190626,Bracknell Forest,E06000036,local authorities: county / unitary (as of April 2023),423,0,0,All persons,0,Sex,1000000,0,9,Aged 8 years,_8,Age,1000000,9,20100,Value,1612,A,Normal Value,F,Free (free for publication),Nm-2029d1d32336e0d1774190626d0d9d20100,9,28152,0-17
