"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_ETH_20","C2021_ETH_20_NAME","C2021_ETH_20_CODE","C2021_ETH_20_TYPE","C2021_ETH_20_TYPECODE","C2021_ETH_20_SORTORDER","C2021_AGE_6","C2021_AGE_6_NAME","C2021_AGE_6_CODE","C2021_AGE_6_TYPE","C2021_AGE_6_TYPECODE","C2021_AGE_6_SORTORDER","C_SEX","C_SEX_NAME","C_SEX_CODE","C_SEX_TYPE","C_SEX_TYPECODE","C_SEX_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"0","Total","0","Ethnic group",1000000,0,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",92335,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d0d0d0d20100",0,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"1001","Asian, Asian British or Asian Welsh","1001","Ethnic group",1000000,1,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",1594,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d1a2a3a4a5d0d0d20100",1,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"1","Asian, Asian British or Asian Welsh: Bangladeshi","_1","Ethnic group",1000000,2,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",278,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d1d0d0d20100",2,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"2","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,3,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",213,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d2d0d0d20100",3,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"3","Asian, Asian British or Asian Welsh: Indian","_3","Ethnic group",1000000,4,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",334,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d3d0d0d20100",4,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"4","Asian, Asian British or Asian Welsh: Pakistani","_4","Ethnic group",1000000,5,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",297,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d4d0d0d20100",5,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"5","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,6,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",472,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d5d0d0d20100",6,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"1002","Black, Black British, Black Welsh, Caribbean or African","1002","Ethnic group",1000000,7,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",444,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d6a7a8d0d0d20100",7,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"6","Black, Black British, Black Welsh, Caribbean or African: African","_6","Ethnic group",1000000,8,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",326,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d6d0d0d20100",8,4375
"2021","2021","2021","date",0,0,"1774190593","Hartlepool","E06000001","local authorities: county / unitary (as of April 2023)",423,0,"7","Black, Black British, Black Welsh, Caribbean or African: Caribbean","_7","Ethnic group",1000000,9,"0","Total","0","Age",1000000,0,"0","All persons","0","Sex",1000000,0,"20100","Value",58,"A","Normal Value","F","Free (free for publication)","Nm-2132d1d32336e0d1774190593d7d0d0d20100",9,4375
