Patient GP,GP practice name,Postcode,ICB23ons,LAD21,LAD21name,ICB23,ICB23name,LSOA11,MSOA11,POSTCODE,NUMBER_OF_PATIENTS,IMD2019 Decile,Count_Referrals_Baseline,Count_Referrals_CDC,Latitude,Longitude
E83003,OAKLEIGH ROAD HEALTH CENTRE,N20 0DH,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000265,E02000034,N20 0DH,9489,6,28,24,51.6251284,-0.15910045
E83005,LICHFIELD GROVE SURGERY,N3 2JP,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000196,E02000051,N3 2JP,6491,7,27,58,51.5995599,-0.19324
E83026,SUPREME MEDICAL CENTRE,N3 2JX,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000196,E02000051,N3 2JX,4424,7,20,31,51.59945,-0.19539
E83006,GREENFIELD MEDICAL CENTRE,NW2 1HS,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000139,E02000064,NW2 1HS,7167,7,30,30,51.56103,-0.20564
E83007,SQUIRES LANE MEDICAL PRACTICE,N3 2AU,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000319,E02000050,N3 2AU,5449,8,25,31,51.6024888,-0.1749345
E83008,HEATHFIELDE MEDICAL CENTRE,N2 0EQ,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000207,E02000056,N2 0EQ,8722,9,19,26,51.58524,-0.1797999
E83009,PHGH DOCTORS,NW11 7TE,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000211,E02000058,NW11 7TE,12353,6,19,36,51.5809874,-0.1977527
E83622,TEMPLE FORTUNE MEDICAL GROUP,NW11 7TE,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000211,E02000058,NW11 7TE,8888,6,28,27,51.5809874,-0.1977527
E83010,THE SPEEDWELL PRACTICE,N12 9SS,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000323,E02000042,N12 9SS,11742,5,22,58,51.6171293,-0.1749327
E83021,TORRINGTON PARK GROUP PRACTICE,N12 9SS,E54000028,E09000003,Barnet,QMJ,NHS North Central London ICB,E01000323,E02000042,N12 9SS,12404,5,21,45,51.6171293,-0.1749327
