GP_IMD,NUMBER_OF_PATIENTS,Baseline_Count,CDC_Count,NUMBER_OF_PATIENTS_percentage,Baseline_Count_percentage,CDC_Count_percentage
1,20317.0,121,219,6.044963076245619,4.110054347826087,3.807371349095966
2,78425.0,393,866,23.333968068837066,13.349184782608695,15.055632823365785
3,92427.0,540,1009,27.50001487661337,18.342391304347828,17.54172461752434
4,27211.0,310,583,8.09615052752471,10.529891304347826,10.135605006954103
5,52795.0,330,683,15.708216056031276,11.209239130434783,11.874130737134909
6,26625.0,455,800,7.921796618843313,15.455163043478262,13.908205841446453
7,5605.0,178,434,1.6676683586334937,6.046195652173913,7.545201668984701
8,11021.0,317,569,3.2791031187332265,10.767663043478262,9.89221140472879
9,21672.0,224,436,6.448119298537927,7.608695652173914,7.579972183588317
10,,76,153,,2.5815217391304346,2.6599443671766343
