GP_IMD,NUMBER_OF_PATIENTS,Baseline_Count,CDC_Count,NUMBER_OF_PATIENTS_percentage,Baseline_Count_percentage,CDC_Count_percentage
6,43203.0,426,777,27.49734274457888,13.93979057591623,12.435979513444302
7,40880.0,232,455,26.018826734217175,7.591623036649215,7.282330345710627
8,30863.0,323,596,19.64332312862389,10.569371727748692,9.539052496798977
9,28129.0,272,476,17.90321862051847,8.900523560209423,7.618437900128041
10,14042.0,82,156,8.937288772061585,2.6832460732984296,2.496798975672215
3,,518,1274,,16.95026178010471,20.390524967989755
2,,455,982,,14.888743455497384,15.717029449423817
5,,318,701,,10.405759162303665,11.219590268886044
4,,302,586,,9.88219895287958,9.379001280409732
1,,128,245,,4.18848167539267,3.9212548015364916
